"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Lou Q.; Gong J.; Zang Z.; Qian S.; Liu Y.; Zhang Y.; Wang Y.; Han S.; Fu C.; Zhu T.","Lou, Qianhui (58666254500); Gong, Jiayan (60346439300); Zang, Zizheng (60346587500); Qian, Sheng (59905919000); Liu, Yu (59858244500); Zhang, Yu (59331308700); Wang, Yuechu (57223408014); Han, Shen (57426267800); Fu, Chenguang (55116533900); Zhu, Tiejun (13003112400)","58666254500; 60346439300; 60346587500; 59905919000; 59858244500; 59331308700; 57223408014; 57426267800; 55116533900; 13003112400","Recent advances and challenges in thermoelectrics toward near-room-temperature and high-temperature applications","2026","Chemical Society Reviews","55","4","","2265","2324","5","10.1039/d5cs01211b","https://www.scopus.com/pages/publications/105028245770?origin=resultslist","Thermoelectric (TE) materials offer significant potential for sustainable energy conversion. Their practical implementation, however, is strongly governed by temperature-dependent performance, which dictates their suitability for specific application domains. The applications are typically categorized into near-room-temperature, mid-temperature, and high-temperature regimes, each demanding distinct material characteristics. In recent years, research has increasingly focused on two key directions: near-room-temperature systems for solid-state cooling and small temperature-gradient power generation, and high-temperature materials for power generation in extreme environments such as deep-space applications. Despite remarkable improvements in the figure of merit (zT) achieved through targeted optimization strategies, critical challenges related to practical applications remain across the entire temperature range, including resource sustainability, thermal stability, and scalable manufacturing. Meanwhile, advances in theoretical calculations are accelerating the integration of theory and practical synthesis, offering new pathways for rational material design. This review provides a timely and comprehensive overview of global progress in TE research over the past five years, with a particular focus on recent advances in near-room-temperature and high-temperature materials. By analyzing the new compositions, new mechanisms, and promising applications for representative systems, it outlines future directions for developing next-generation TE materials toward sustainable energy applications. This journal is © The Royal Society of Chemistry, 2026","","Cooling systems; Energy conservation; High temperature effects; Room temperature; Space power generation; Sustainable development; High temperature materials; High-temperature application; Near room temperature; Performance; Power- generations; Sustainable energy; Temperature dependent; Thermo-Electric materials; Thermoelectric; Thermoelectric material; calculation; cooling; energy conversion; extreme environment; high temperature; human; pharmaceutics; review; room temperature; solid state; synthesis; temperature; thermostability; High temperature applications","Review","Final","","Scopus","2-s2.0-105028245770"
"Xu C.; Kong D.; Kuang Z.; Chen Z.; Ma Y.; Zou F.; Chen X.; Hu X.; Feng B.; Fan X.","Xu, Chenhui (57216629151); Kong, Dong (57209287281); Kuang, Zhixiang (57194590419); Chen, Zhuo (57348450800); Ma, Yan (56256263900); Zou, Fuxiang (58297397100); Chen, Xin (25927802300); Hu, Xiaoming (56300179900); Feng, Bo (57203656463); Fan, Xian (35317223400)","57216629151; 57209287281; 57194590419; 57348450800; 56256263900; 58297397100; 25927802300; 56300179900; 57203656463; 35317223400","Development of High Performance Mg3(Sb, Bi)2-based Thermoelectric Materials; [高性能新型 Mg3(Sb,Bi)2 基热电材料的发展现状]","2023","Materials Reports","37","13","21100209","","","0","10.11896/cldb.21100209","https://www.scopus.com/pages/publications/85165791908?origin=resultslist","Thermoelectric materials that convert electric energy and thermal energy are applied as functional materials in waste heat recovery and semiconductor refrigeration. Research on conventional thermoelectric materials has reached maturity; further development of such materials is hampered by the high cost of raw materials and low thermoelectric conversion efficiency. To overcome these limitations, Mg3(Sb, Bi)2 Zintl phases have attracted extensive attention since their discovery and have been widely applied as thermoelectric materials because of their low cost and intrinsic low thermal conductivity. In addition, N-type Mg3(Sb, Bi)2-based conduction materials, having a high Seebeck coefficient owing to high energy band degeneracy, are hypothesized to be more effective than conventional medium- and low-temperature thermoelectric materials. However, the application of Mg3(Sb, Bi)2-based thermoelectric materials is limited because of the low carrier concentration caused by the large bandgap and the low thermal stability due to Mg vacancies. In addition to the maintenance of initial low thermal conductivity of such materials, researchers have continually tried to improve the electrical transport performance and thermal stability by employing different preparation processes and by conducting component and structure optimization. At present, the maximum ZT value of Mg3(Sb, Bi)2-based thermoelectric materials is above 1. 8, and the conversion efficiency of the Mg3(Sb, Bi)2-based thermoelectric devices has been comparable to that of conventional low-temperature thermoelectric materials. This paper summarizes the physical properties and preparation methods of Mg3(Sb, Bi)2-based thermoelectric materials. The research progress on different optimization methods to prepare Mg3(Sb, Bi)2-based thermoelectric materials is discussed in detail, and possible future developments of the materials are presented. © 2023 Cailiao Daobaoshe/ Materials Review. All rights reserved.","Bi)<sub>2</sub>; magnesium alloy; Mg<sub>3</sub>(Sb; optimization of thermoelectric performance; thermoelectric material","Bismuth alloys; Carrier concentration; Conversion efficiency; Functional materials; Magnesium alloys; Structural optimization; Temperature; Thermal conductivity; Thermodynamic stability; Thermoelectric equipment; Thermoelectricity; Waste heat utilization; Bi)2; Low thermal conductivity; Lows-temperatures; Mg3(sb; Optimisations; Optimization of thermoelectric performance; Performance; Thermo-Electric materials; Thermoelectric material; Thermoelectric performance; Waste heat","Article","Final","","Scopus","2-s2.0-85165791908"
"Athithya S.; Jibri K.P.M.; Harish S.; Hayakawa K.; Kubota Y.; Ikeda H.; Hayakawa Y.; Inatomi Y.; Navaneethan M.; Archana J.","Athithya, S. (57217882726); Jibri, K P Mohamed (58083398500); Harish, S. (24331123500); Hayakawa, K. (7401743320); Kubota, Y. (55730985600); Ikeda, H. (57200502510); Hayakawa, Y. (57226260741); Inatomi, Y. (55964192100); Navaneethan, M. (57729816700); Archana, J. (26653958300)","57217882726; 58083398500; 24331123500; 7401743320; 55730985600; 57200502510; 57226260741; 55964192100; 57729816700; 26653958300","Polarity switching via defect engineering in Cu doped SnSe0.75S0.25 solid solution for mid-temperature thermoelectric applications","2023","Materials Research Express","10","5","056507","","","2","10.1088/2053-1591/accf61","https://www.scopus.com/pages/publications/85159764611?origin=resultslist","Solid solution SnSe0.75S0.25 has potential to improve thermoelectric performance via ultra-low thermal conductivity as compared to the pristine SnSe which originates from phonon scattering due to disordered atoms of selenium (Se) and sulfur (S). SnSe0.75S0.25 and Cu-doped SnSe0.75S0.25 compounds were prepared via high energy ball milling and pelletized by a spark plasma sintering (SPS) process. Dislocation and point defects were successfully introduced by SnSe0.75S0.25. The existence of S in the Se site induced mass fluctuation which favors high-frequency phonon scattering. This leads to an impressively ultra-low thermal conductivity (κT) value of 0.258 W mK−1 at 753 K for SnSe0.75S0.25. Next, the Cu dopant was selected to enhance the electrical conductivity, which improved from 514.44 S m−1 (SnSe0.75S0.25) to 725.08 S m−1 for Sn0.98Cu0.02Se0.75S0.25 at 738 K. Interestingly, the Cu dopant induced nanoprecipitates of Cu2Se inside the grains, which further strengthens the phonon scattering. The Cu2Se nanoprecipitates and various defects at the grain boundaries contributed to a lower κT of 0.295 W mK−1 at 753 K for a Sn0.94Cu0.06Se0.75S0.25 sample. Moreover, the maximum figure of merit of (ZT) ∼0.19 at 738 K was attained for the Sn0.98Cu0.02Se0.75S0.25 sample. © 2023 The Author(s). Published by IOP Publishing Ltd.","defect engineering; phonon scattering; solid solution; thermoelectric; Tin selenide","Ball milling; Copper; Copper compounds; Defect engineering; Grain boundaries; Phonon scattering; Phonons; Point defects; Selenium compounds; Solid solutions; Spark plasma sintering; Thermal conductivity; Thermoelectricity; Cu-doped; Defect engineering; Disordered atoms; Low thermal conductivity; Nanoprecipitate; Polarity switching; Selenium and; Thermoelectric; Thermoelectric application; Thermoelectric performance; Tin compounds","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85159764611"
"Su H.; Han Y.; Xie L.; Jiang M.; Wang Z.; Miao Z.; Liu G.; Zhou M.; Huang R.; Li L.","Su, Haojian (57759676500); Han, Yemao (55602937900); Xie, Liancheng (58176380600); Jiang, Mingyue (57996451800); Wang, Zekun (57324853900); Miao, Zhicong (57240791300); Liu, Guoqiang (56379179400); Zhou, Min (57054562100); Huang, Rongjin (24775819200); Li, Laifeng (56158168500)","57759676500; 55602937900; 58176380600; 57996451800; 57324853900; 57240791300; 56379179400; 57054562100; 24775819200; 56158168500","Fast fabrication of SnTe via a non-equilibrium method and enhanced thermoelectric properties by medium-entropy engineering","2023","Journal of Materials Chemistry C","11","16","","5363","5370","13","10.1039/d3tc00077j","https://www.scopus.com/pages/publications/85152094094?origin=resultslist","Single-phase SnTe-based thermoelectric materials were prepared by a fast preparation method, known as self-propagating high-temperature synthesis under high-gravity field combined with spark plasma sintering (SHS-HG-SPS), which shortens the synthesis time from several days to several minutes. Entropy engineering has been reported as an effective method to tune the delicate trade-off between the electrical transport properties and lattice thermal conductivity, resulting in an improvement of the thermoelectric performance. Herein, the (Ge, Pb, Sb, Mn) co-alloyed SnTe alloys with medium-entropy are reported. An ultralow lattice thermal conductivity of ∼0.30 W m−1 K−1 and a higher zT value of ∼1.1 are obtained for (Sn0.70Ge0.15Pb0.15)0.86Sb0.04Mn0.1Te at 873 K. This work demonstrates that medium-entropy engineering is an effective strategy to obtain high thermoelectric properties for SnTe-based materials. © 2023 The Royal Society of Chemistry.","","Cobalt alloys; Crystal lattices; Economic and social effects; Entropy; IV-VI semiconductors; Manganese alloys; Thermal conductivity; Thermoelectric equipment; Thermoelectricity; Tin alloys; Equilibrium methods; Lattice thermal conductivity; Medium entropy; Non equilibrium; Preparation method; Self propagating high temperature synthesis; Single phasis; Thermo-Electric materials; Thermoelectric material; Thermoelectric properties; Spark plasma sintering","Article","Final","","Scopus","2-s2.0-85152094094"
"Liu Y.; Song G.; Tai K.; Yu Z.; Ran Y.; He J.; Wu Y.","Liu, Ying (57214947341); Song, Guihong (7402252487); Tai, Kaiping (37111323200); Yu, Zhi (55511501600); Ran, Yijun (58505216900); He, Juan (58504665900); Wu, Yusheng (12240869400)","57214947341; 7402252487; 37111323200; 55511501600; 58505216900; 58504665900; 12240869400","Influence of atomic ratio of Mg to Sn on thermoelectric properties of Mg2Sn films","2025","Thin Solid Films","809","","140585","","","4","10.1016/j.tsf.2024.140585","https://www.scopus.com/pages/publications/85211339988?origin=resultslist","The influence of Mg/Sn ratio of on the thermoelectric properties of Mg-Sn films was deeply studied through preparing a series of Mg2Sn films with different Mg and Sn atomic ratios on SiO2/Si substrate. The results showed that the phase structure of the deposited Mg2Sn films varied from a metastable orthogonal phase to a mixture of orthogonal and cubic phase, and then to a highly symmetric cubic phase with increasing [Mg]/[Sn]. Meanwhile, with increasing [Mg]/[Sn], the carrier concentration and electrical conductivity of the deposited films first decreased and then increased, while the carrier mobility and Seebeck coefficient varied in an opposite trend. The cubic Mg2Sn phase film with [Mg]/[Sn] = 1.94 has the highest Seebeck coefficient and appropriate electrical conductivity, reaching the highest power factor of 3.10 μW cm-1 K-2 at 235 °C and figure of merit of 0.059 at 125 °C. © 2024 Elsevier B.V.","Electrical conductivity; Magnesium stannide; Seebeck coefficient; Thermoelectric material; Thin films","Atomic ratio; Electrical conductivity; Magnesium stannide; Mg 2; Seebeck; Thermo-Electric materials; Thermoelectric material; Thermoelectric properties; Thin-films; Nanocomposite thin films","Article","Final","","Scopus","2-s2.0-85211339988"
"Tian Z.; Jiang Q.; Li J.; Kang H.; Guo E.; Chen Z.; Wang T.","Tian, Zhen (57194284085); Jiang, Quanwei (57264689500); Li, Jianbo (57214209478); Kang, Huijun (36247577800); Guo, Enyu (54915253600); Chen, Zongning (35344385600); Wang, Tongmin (57205479411)","57194284085; 57264689500; 57214209478; 36247577800; 54915253600; 35344385600; 57205479411","Entropy engineering promotes thermoelectric performance while realizing P–N switchable conduction in BiSbSe1.5Te1.5","2024","Materials Today Chemistry","40","","102285","","","5","10.1016/j.mtchem.2024.102285","https://www.scopus.com/pages/publications/85202894485?origin=resultslist","BiSbSe1.5Te1.5, a typical multi-layered compound, can be utilized to fabricate p-n junctions with the identical chemical composition by regulating the antisite defects and anion vacancies via defect engineering. However, the thermoelectric performance of n-type BiSbSe1.5Te1.5 is limited due to poor electrical transport properties. Entropy engineering is a novel strategy for expanding the space of performance optimization in materials science, including the field of thermoelectric. Herein, we realize a largely enhanced thermoelectric performance for n-type BiSbSe1.5Te1.5 by employing entropy engineering. Both mass field fluctuations and stress variations field are introduced simultaneously in the lattice, leading to additional phonon scattering. Moreover, nano-laminate structure, nanoscale interstices and holes are formed in the samples. All of these defects and nanoscale structures are especially efficient on trapping phonons. As a result, the optimizing electrical transport properties while maintaining low thermal conductivity are achieved, showcasing a peak ZT of 0.54 at 475 K and a remarkable average ZT of 0.45 between 300 and 550 K for n-type BiSbSe1.25Te1.75.These findings not only provide a way to enhance the thermoelectric performance of n-type BiSbSe1.5Te1.5 but also push forward the promise of the applications in fabricating well-matched p-n junctions using thermoelectric materials with the identical chemical composition. © 2024 Elsevier Ltd","Entropy engineering; Identical chemical composition; n-type BiSbSe<sub>1.25</sub>Te<sub>1.75</sub>; Thermoelectric materials","Compounding (chemical); Defect engineering; Germanium compounds; Phosphorus compounds; Selenium compounds; Silicon compounds; Chemical compositions; Electrical transport properties; Entropy engineering; Identical chemical composition; N-type bisbse1.25te1.75; P-n junction; Switchable; Thermo-Electric materials; Thermoelectric material; Thermoelectric performance; Tellurium compounds","Article","Final","","Scopus","2-s2.0-85202894485"
"Tian Z.; Jiang J.; Wang L.; Dong S.; Luan J.; Ju H.","Tian, Zixuan (59309393300); Jiang, Jialing (57540135200); Wang, Lei (57196333979); Dong, Songtao (24780749600); Luan, Jing (57898652400); Ju, Hongbo (55444342000)","59309393300; 57540135200; 57196333979; 24780749600; 57898652400; 55444342000","Tuning thermoelectric properties of BiCuSeO via Ca–Sr–Ba Co-doping for high-performance thermoelectric applications","2026","Materials Science and Engineering: B","323","","118855","","","4","10.1016/j.mseb.2025.118855","https://www.scopus.com/pages/publications/105017707079?origin=resultslist","BiCuSeO has attracted significant interest in the field of thermoelectric materials due to its layered crystalline structure, along with advantages such as abundant elemental availability, low thermal conductivity, and outstanding thermal stability. However, the inherently low electrical conductivity of BiCuSeOlimiting overall thermoelectricperformance. To address this, as an effective strategy to enhance thermoelectric performance, BiCuSeO was subjected to tri-element co-doping. Bi1−3x(CaSrBa)xCuSeO (x = 0.0, 0.02, 0.03, 0.04, and 0.05) ceramics were synthesized using an advanced fabrication process that combined high-energy ball milling with hot-press sintering techniques. Substituting Ca2+, Sr2+, and Ba2+ at the Bi3+ sites effectively optimized the carrier concentration, increased the effective mass, and significantly enhanced the electrical conductivity from 9.67 to 91.55 S cm−1. Notably, the power factor of the Bi0.88(CaSrBa)0.04CuSeO sample reached 476.54 μW m−1 K−2 at 323 K. and electrical conductivity. Simultaneously, the introduction of lattice defects through co-doping considerably enhanced phonon scattering, reducing the lattice thermal conductivity to 0.342 W m−1 K−1 for Bi0.85(CaSrBa)0.05CuSeO, compared with 0.447 W m−1 K−1 for the pristine sample. Consequently, a maximum dimensionless figure of merit (ZT) of 0.65 was achieved at 773 K for Bi0.88(CaSrBa)0.04CuSeO. These findings provide valuable insights into improving the thermoelectric performance of BiCuSeO-based materials through multi-element co-doping. © 2025 Elsevier B.V.","BiCuSeO; Lattice thermal conductivity; Microstructure; Thermoelectric properties; Tri-element doping","Barium compounds; Bismuth compounds; Calcium compounds; Carrier concentration; Cobalt compounds; Copper compounds; Crystal lattices; Electric conductivity; Silicon compounds; Sintering; Strontium compounds; Thermal conductivity; Thermoelectric equipment; Thermoelectricity; Co-doping; Electrical conductivity; Lattice thermal conductivity; Performance; Thermo-Electric materials; Thermoelectric application; Thermoelectric material; Thermoelectric performance; Thermoelectric properties; Tri-element doping; Microstructure","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017707079"
"Liu Y.; Geng Y.; Dou Y.; Wu X.; Hu L.; Liu F.; Ao W.; Zhang C.","Liu, Yali (58402585600); Geng, Yang (58403270600); Dou, Yubo (57216471027); Wu, Xuelian (57194769062); Hu, Lipeng (55249584500); Liu, Fusheng (59868835000); Ao, Weiqin (13002581300); Zhang, Chaohua (56687869100)","58402585600; 58403270600; 57216471027; 57194769062; 55249584500; 59868835000; 13002581300; 56687869100","Mg Compensating Design in the Melting-Sintering Method For High-Performance Mg3(Bi, Sb)2 Thermoelectric Devices","2023","Small","19","44","2303840","","","31","10.1002/smll.202303840","https://www.scopus.com/pages/publications/85163432323?origin=resultslist","N-type Mg3(Bi, Sb)2-based thermoelectric (TE) alloys show great promise for solid-state power generation and refrigeration, owing to their excellent figure-of-merit (ZT) and using cheap Mg. However, their rigorous preparation conditions and poor thermal stability limit their large-scale applications. Here, this work develops an Mg compensating strategy to realize n-type Mg3(Bi, Sb)2 by a facile melting-sintering approach. “2D roadmaps” of TE parameters versus sintering temperature and time are plotted to understand the Mg-vacancy-formation and Mg-diffusion mechanisms. Under this guidance, high weight mobility of 347 cm2 V−1 s−1 and power factor of 34 µW cm−1 K−2 can be obtained for Mg3.05Bi1.99Te0.01, and a peak ZT≈1.55 at 723 K and average ZT≈1.25 within 323–723 K can be obtained for Mg3.05(Sb0.75Bi0.25)1.99Te0.01. Moreover, this Mg compensating strategy can also improve the interfacial connecting and thermal stability of corresponding Mg3(Bi, Sb)2/Fe TE legs. As a consequence, this work fabricates an 8-pair Mg3Sb2-GeTe-based power-generation device reaching an energy conversion efficiency of ≈5.0% at a temperature difference of 439 K, and a one-pair Mg3Sb2-Bi2Te3-based cooling device reaching −10.7 °C at the cold side. This work paves a facile way to obtain Mg3Sb2-based TE devices at low cost and also provides a guide to optimize the off-stoichiometric defects in other TE materials. © 2023 Wiley-VCH GmbH.","Mg<sub>3</sub>Sb<sub>2</sub>; n-type; spark plasma sintering; thermal stability; weight mobility","Energy conversion efficiency; Energy efficiency; Magnesium; Melting; Plasma stability; Spark plasma sintering; Thermoelectricity; N-type; Performance; Power- generations; Preparation conditions; Sintering methods; Spark-plasma-sintering; Stability limit; Thermoelectric alloys; Thermoelectric devices; Weight mobility; Thermodynamic stability","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85163432323"
"Liu Z.; Gao W.; Oshima H.; Nagase K.; Lee C.-H.; Mori T.","Liu, Zihang (56451880500); Gao, Weihong (55980987400); Oshima, Hironori (57474160100); Nagase, Kazuo (56478478400); Lee, Chul-Ho (7410158112); Mori, Takao (55560924100)","56451880500; 55980987400; 57474160100; 56478478400; 7410158112; 55560924100","Maximizing the performance of n-type Mg3Bi2 based materials for room-temperature power generation and thermoelectric cooling","2022","Nature Communications ","13","1","1120","","","272","10.1038/s41467-022-28798-4","https://www.scopus.com/pages/publications/85125560942?origin=resultslist","Although the thermoelectric effect was discovered around 200 years ago, the main application in practice is thermoelectric cooling using the traditional Bi2Te3. The related studies of new and efficient room-temperature thermoelectric materials and modules have, however, not come to fruition yet. In this work, the electronic properties of n-type Mg3.2Bi1.5Sb0.5 material are maximized via delicate microstructural design with the aim of eliminating the thermal grain boundary resistance, eventually leading to a high zT above 1 over a broad temperature range from 323 K to 423 K. Importantly, we further demonstrated a great breakthrough in the non-Bi2Te3 thermoelectric module, coupled with the high-performance p-type α-MgAgSb, for room-temperature power generation and thermoelectric cooling. A high conversion efficiency of ~2.8% at the temperature difference of 95 K and a maximum temperature difference of 56.5 K are experimentally achieved. If the interfacial contact resistance is further reduced, our non-Bi2Te3 module may rival the long-standing champion commercial Bi2Te3 system. Overall, this work represents a substantial step towards the real thermoelectric application using non-Bi2Te3 materials and devices. © 2022, The Author(s).","","design method; performance assessment; power generation; temperature effect; article; cooling; grain; room temperature","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85125560942"
"Wang D.-Z.; Liu W.-D.; Li M.; Yin L.-C.; Gao H.; Sun Q.; Wu H.; Wang Y.; Shi X.-L.; Yang X.; Liu Q.; Chen Z.-G.","Wang, De-Zhuang (57216391576); Liu, Wei-Di (57218210058); Li, Meng (57203187864); Yin, Liang-Cao (57298849000); Gao, Han (57203982719); Sun, Qiang (57205461370); Wu, Hao (59444603300); Wang, Yifeng (55734022000); Shi, Xiao-Lei (57195547608); Yang, Xiaoning (35263126100); Liu, Qingfeng (56530926000); Chen, Zhi-Gang (57188708630)","57216391576; 57218210058; 57203187864; 57298849000; 57203982719; 57205461370; 59444603300; 55734022000; 57195547608; 35263126100; 56530926000; 57188708630","Simultaneously achieving high ZT and mechanical hardness in highly alloyed GeTe with symmetric nanodomains","2022","Chemical Engineering Journal","441","","136131","","","63","10.1016/j.cej.2022.136131","https://www.scopus.com/pages/publications/85127258503?origin=resultslist","For the application of thermoelectric materials, high figure-of-merit, ZT, endows them high energy conversion efficiency, while robust mechanical hardness makes them tolerable to a large thermal stress and elongates their service life. Hence, both high ZT and high mechanical hardness are necessary for the application of thermoelectric materials. Here, we report the simultaneous achievement of high ZT and robust mechanical hardness in highly alloyed GeTe with symmetric nanodomains. By proper structural symmetry engineering via Mn-substitution at Ge site, highly symmetric cubic GeTe nanodomains have formed, which strengthens phonon scattering together with dense point defects, and correspondingly approaches the amorphous limit of lattice thermal conductivity. Simultaneously, the optimized carrier concentration and additional band convergence lead to high electrical performance. Correspondingly, an enhanced ZT of ∼ 2.3 in Ge0.82Pb0.1Bi0.04Mn0.04Te at 573 K with an average ZT of ∼ 1.6 (300 K to 723 K) is achieved, which refers to a maximum energy conversion efficiency of ∼ 17 % at temperature difference of 400 K. Moreover, the hierarchical structure features results in high Vickers hardness up to ∼ 207 Kgf mm−2 in the Ge0.82Pb0.1Bi0.04Mn0.04Te. Our study indicates that structural symmetry engineering in highly alloyed GeTe can simultaneously approach significantly increased ZT and mechanical hardness, which can inspire new exploration and application of GeTe-based materials. © 2022 Elsevier B.V.","GeTe; Mechanical hardness; Thermoelectric; ZT","Carrier concentration; Conversion efficiency; Point defects; Thermal conductivity; Thermoelectric equipment; Thermoelectricity; Vickers hardness; High figure of merit ZT; Highest energy conversion efficiency; Mechanical hardness; Nanodomain; Structural symmetry; Symmetrics; Thermo-Electric materials; Thermoelectric; Thermoelectric material; ZT; Germanium alloys","Article","Final","","Scopus","2-s2.0-85127258503"
